Num Processes,Comm Time,Calc Time,Scatter Time,Gather Time,Broadcast Time,Total Time / NumProcs,Total Time,Rows,Columns,Matrix Multiplication Accuracy Assert,matrix size,Comm Time Speedup,Calc Time Speedup
1,0.030169,0.069638,0.030133,3.00E-05,6.00E-06,0.920556,0.920556,6000,6000, correct,36000000,0.030169,
2,0.024742,0.034963,0.024361,8.30E-05,0.000298,0.434648,0.869296,6000,6000, correct,36000000,,
3,0.022587,0.036871,0.022196,0.000103,0.000288,0.285665,0.856996,6000,6000, correct,36000000,,
4,0.02983,0.02665,0.029498,6.50E-05,0.000267,0.211525,0.8461,6000,6000, correct,36000000,,
6,0.03904,0.016469,0.038719,6.40E-05,0.000257,0.142723,0.85634,6000,6000, correct,36000000,,
12,0.088997,0.007524,0.088814,4.90E-05,0.000134,0.073725,0.8847,6000,6000, correct,36000000,,
24,0.167157,0.004379,0.155499,0.011523,0.000135,0.0405584,0.973401,6000,6000, correct,36000000,,
1,0.061263,0.140322,0.061207,4.00E-05,1.60E-05,1.82505,1.82505,12000,6000, correct,72000000,,
2,0.049643,0.069537,0.049084,0.00024,0.000319,0.852808,1.70562,12000,6000, correct,72000000,,
3,0.045314,0.046853,0.044908,0.000105,0.000301,0.556788,1.67036,12000,6000, correct,72000000,,
4,0.061055,0.049261,0.060507,0.000252,0.000296,0.422674,1.6907,12000,6000, correct,72000000,,
6,0.071475,0.031349,0.07084,0.000376,0.000259,0.280047,1.68028,12000,6000, correct,72000000,,
12,0.121958,0.01513,0.121734,7.80E-05,0.000146,0.141885,1.70262,12000,6000, correct,72000000,,
24,0.220346,0.005567,0.220095,0.000103,0.000148,0.0752705,1.80649,12000,6000, correct,72000000,,
1,0.123372,0.280076,0.123327,3.20E-05,1.30E-05,3.70684,3.70684,12000,12000, correct,144000000,,
2,0.098969,0.140356,0.098319,0.000112,0.000538,1.70685,3.41371,12000,12000, correct,144000000,,
3,0.090405,0.113513,0.089945,0.000163,0.000297,1.12024,3.36072,12000,12000, correct,144000000,,
4,0.111588,0.086194,0.110874,0.000243,0.000471,0.849058,3.39623,12000,12000, correct,144000000,,
6,0.122067,0.059034,0.121254,0.000375,0.000438,0.562546,3.37527,12000,12000, correct,144000000,,
12,0.176088,0.027813,0.175859,7.50E-05,0.000154,0.277307,3.32768,12000,12000, correct,144000000,,
24,0.293267,0.012459,0.293046,6.30E-05,0.000158,0.142643,3.42344,12000,12000, correct,144000000,,
1,0.245633,0.558845,0.245561,5.70E-05,1.50E-05,7.27418,7.27418,24000,12000, correct,288000000,,
2,0.197316,0.280044,0.196583,0.000192,0.000541,3.40907,6.81815,24000,12000, correct,288000000,,
3,0.185527,0.196369,0.185077,0.000129,0.000321,2.23787,6.71361,24000,12000, correct,288000000,,
4,0.20328,0.154779,0.202548,0.000265,0.000467,1.67314,6.69257,24000,12000, correct,288000000,,
6,0.220308,0.103404,0.211135,0.008726,0.000447,1.09857,6.5914,24000,12000, correct,288000000,,
12,0.276681,0.047479,0.275512,0.001013,0.000156,0.546889,6.56267,24000,12000, correct,288000000,,
24,0.414959,0.023903,0.414718,8.90E-05,0.000152,0.28269,6.78456,24000,12000, correct,288000000,,
1,0.489826,1.11935,0.489727,8.30E-05,1.60E-05,14.5482,14.5482,24000,24000, correct,576000000,,
2,0.415722,0.563555,0.415097,0.000132,0.000493,6.83618,13.6724,24000,24000, correct,576000000,,
3,0.371723,0.382349,0.371062,0.000185,0.000476,4.45349,13.3605,24000,24000, correct,576000000,,
4,0.412417,0.289423,0.403996,0.007875,0.000546,3.3247,13.2988,24000,24000, correct,576000000,,
6,0.397533,0.199143,0.396623,0.000454,0.000456,2.18617,13.117,24000,24000, correct,576000000,,
12,0.480678,0.099513,0.46798,0.012391,0.000307,1.08717,13.046,24000,24000, correct,576000000,,
24,0.592341,0.048,0.591441,0.000508,0.000392,0.547683,13.1444,24000,24000, correct,576000000,,
,,,,,,,,,,,,,
1,0.030169,0.069638,0.030133,3.00E-05,6.00E-06,0.920556,0.920556,6000,6000, correct,36000000,,
1,0.061263,0.140322,0.061207,4.00E-05,1.60E-05,1.82505,1.82505,12000,6000, correct,72000000,,
1,0.123372,0.280076,0.123327,3.20E-05,1.30E-05,3.70684,3.70684,12000,12000, correct,144000000,,
1,0.245633,0.558845,0.245561,5.70E-05,1.50E-05,7.27418,7.27418,24000,12000, correct,288000000,,
1,0.489826,1.11935,0.489727,8.30E-05,1.60E-05,14.5482,14.5482,24000,24000, correct,576000000,,
2,0.024742,0.034963,0.024361,8.30E-05,0.000298,0.434648,0.869296,6000,6000, correct,36000000,,
2,0.049643,0.069537,0.049084,0.00024,0.000319,0.852808,1.70562,12000,6000, correct,72000000,,
2,0.098969,0.140356,0.098319,0.000112,0.000538,1.70685,3.41371,12000,12000, correct,144000000,,
2,0.197316,0.280044,0.196583,0.000192,0.000541,3.40907,6.81815,24000,12000, correct,288000000,,
2,0.415722,0.563555,0.415097,0.000132,0.000493,6.83618,13.6724,24000,24000, correct,576000000,,
3,0.022587,0.036871,0.022196,0.000103,0.000288,0.285665,0.856996,6000,6000, correct,36000000,,
3,0.045314,0.046853,0.044908,0.000105,0.000301,0.556788,1.67036,12000,6000, correct,72000000,,
3,0.090405,0.113513,0.089945,0.000163,0.000297,1.12024,3.36072,12000,12000, correct,144000000,,
3,0.185527,0.196369,0.185077,0.000129,0.000321,2.23787,6.71361,24000,12000, correct,288000000,,
3,0.371723,0.382349,0.371062,0.000185,0.000476,4.45349,13.3605,24000,24000, correct,576000000,,
4,0.02983,0.02665,0.029498,6.50E-05,0.000267,0.211525,0.8461,6000,6000, correct,36000000,,
4,0.061055,0.049261,0.060507,0.000252,0.000296,0.422674,1.6907,12000,6000, correct,72000000,,
4,0.111588,0.086194,0.110874,0.000243,0.000471,0.849058,3.39623,12000,12000, correct,144000000,,
4,0.20328,0.154779,0.202548,0.000265,0.000467,1.67314,6.69257,24000,12000, correct,288000000,,
4,0.412417,0.289423,0.403996,0.007875,0.000546,3.3247,13.2988,24000,24000, correct,576000000,,
6,0.03904,0.016469,0.038719,6.40E-05,0.000257,0.142723,0.85634,6000,6000, correct,36000000,,
6,0.071475,0.031349,0.07084,0.000376,0.000259,0.280047,1.68028,12000,6000, correct,72000000,,
6,0.122067,0.059034,0.121254,0.000375,0.000438,0.562546,3.37527,12000,12000, correct,144000000,,
6,0.220308,0.103404,0.211135,0.008726,0.000447,1.09857,6.5914,24000,12000, correct,288000000,,
6,0.397533,0.199143,0.396623,0.000454,0.000456,2.18617,13.117,24000,24000, correct,576000000,,
12,0.088997,0.007524,0.088814,4.90E-05,0.000134,0.073725,0.8847,6000,6000, correct,36000000,,
12,0.121958,0.01513,0.121734,7.80E-05,0.000146,0.141885,1.70262,12000,6000, correct,72000000,,
12,0.176088,0.027813,0.175859,7.50E-05,0.000154,0.277307,3.32768,12000,12000, correct,144000000,,
12,0.276681,0.047479,0.275512,0.001013,0.000156,0.546889,6.56267,24000,12000, correct,288000000,,
12,0.480678,0.099513,0.46798,0.012391,0.000307,1.08717,13.046,24000,24000, correct,576000000,,
24,0.167157,0.004379,0.155499,0.011523,0.000135,0.0405584,0.973401,6000,6000, correct,36000000,,
24,0.220346,0.005567,0.220095,0.000103,0.000148,0.0752705,1.80649,12000,6000, correct,72000000,,
24,0.293267,0.012459,0.293046,6.30E-05,0.000158,0.142643,3.42344,12000,12000, correct,144000000,,
24,0.414959,0.023903,0.414718,8.90E-05,0.000152,0.28269,6.78456,24000,12000, correct,288000000,,
24,0.592341,0.048,0.591441,0.000508,0.000392,0.547683,13.1444,24000,24000, correct,576000000,,